,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
IA627,0.0207611565993,0.00689325870688,8.3041304745e-07,0.03844895451,0.795868695089,0.0167751739715,0.00423593695504,8.30413047449e-07,8.3041304745e-07,0.00166165650795,8.3041304745e-07,0.000416036936772,8.30413047449e-07,0.00797279566857,8.30413047468e-07,8.30413047449e-07,0.00232598694591,0.000914284765242,8.30413047449e-07,0.10371942004
1448853,0.0603939709601,0.376159170788,1.98794510091e-07,0.0846071422892,1.98794510091e-07,0.0941095198715,0.000536943971755,9.95960495555e-05,1.98794510095e-07,0.00246525071964,1.98794510091e-07,1.98794510091e-07,0.0117887132429,0.160606283497,0.0128224446954,1.98794510095e-07,1.98794510091e-07,0.0859987038598,1.98794510091e-07,0.110410669699
12481028,0.685519932504,0.0611790761443,1.05462982493e-05,1.05462982493e-05,1.05462982493e-05,1.05462982493e-05,1.05462982493e-05,1.05462982493e-05,0.0485235182451,1.05462982493e-05,1.05462982493e-05,1.05462982493e-05,1.05462982493e-05,0.0685614849188,0.101255009492,0.034813330521,1.05462982493e-05,1.05462982493e-05,1.05462982493e-05,1.05462982493e-05
11693518,0.056959088992,0.267840573598,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,2.10881484606e-05,0.0527414592999,0.153964571911,0.453416280051,2.10881484606e-05,0.0147827920709,2.10881484606e-05,2.10881484606e-05
100153138,0.567899209154,0.0988600033653,4.20662964833e-06,4.20662964832e-06,4.20662964833e-06,4.20662964833e-06,4.20662964833e-06,4.20662964832e-06,0.0496424364799,4.20662964833e-06,4.20662964833e-06,4.20662964832e-06,4.20662964833e-06,0.0967566885411,0.18635790005,4.20662964832e-06,0.000424869594481,4.20662964833e-06,4.20662964832e-06,4.20662964832e-06
7701232,0.0653479172153,0.264216541568,0.00164631068387,2.77082784655e-05,2.74339390747e-07,0.0411237490124,0.0357466969537,0.00644725002195,0.0551424918796,0.0217279540866,0.000603820999034,0.00279853612501,0.00655698577825,0.0815888091476,0.0881180866474,0.00921807786849,2.74339390747e-07,0.00348438460188,0.272336987534,0.0438671429198
1858001,0.0680345973942,0.358676006738,2.24018351583e-07,0.00394294700622,0.00374133048979,0.0349694887005,0.00595911217047,0.000784288248893,0.0205203050234,0.0028228552483,0.000493064391835,2.24018351583e-07,0.00295726625925,0.0447814924999,2.24018351583e-07,0.0151438645854,0.00165795982007,2.24018351583e-07,0.397498387068,0.038016138282
9724697,0.120591086486,0.436232774254,8.39872640209e-05,4.17847084681e-07,4.17847084681e-07,4.17847084681e-07,0.00213143797896,0.00543242994794,0.00986160904555,0.0251130276364,0.0117837056351,0.0124522609706,0.0129118927637,0.038734842597,0.0152936211464,0.233451584058,4.17847084681e-07,0.0759232331336,4.17847084681e-07,4.17847084681e-07
7689516,0.141689112411,0.0736504496163,0.0022098536818,3.50714756674e-07,3.50714756674e-07,0.132254885457,3.50714756674e-07,0.026339028941,0.00911893438828,0.0036127127085,3.50714756674e-07,3.50714756674e-07,3.50714756674e-07,0.111632857764,0.128993238219,3.50714756674e-07,3.54221904241e-05,3.50714756674e-07,3.50714756674e-07,0.37046034819
11724840,2.235226272e-07,2.235226272e-07,0.0321651295761,2.23522627195e-07,0.0022578020573,2.23522627196e-07,0.0302428349822,2.23522627195e-07,0.168670398004,0.0902586603842,0.514638720378,0.0887163542565,2.23522627195e-07,0.0254818030229,0.0447047489617,2.235226272e-07,2.23522627196e-07,2.235226272e-07,0.00286131315073,2.23522627195e-07
9777087,0.122910336123,0.126650226731,3.89571938354e-07,3.89571938354e-07,0.177956851012,3.89571938354e-07,3.89571938354e-07,3.89571938354e-07,0.0860957879482,0.116599270721,0.00342862262945,0.14340182008,0.0924847677372,0.0527873872189,0.0739411434716,3.89571938354e-07,3.89571938354e-07,0.00374028018014,3.89571938354e-07,3.89571938354e-07
2015586,0.734232908636,0.0794112643952,2.83509392666e-07,2.83509392672e-07,0.0498128838008,2.83509392666e-07,0.0101215688276,0.00119102295859,2.83509392666e-07,0.0527897324238,2.83509392666e-07,0.00184309456172,0.0515422910961,0.00876072374278,2.83509392666e-07,0.00368590561405,2.83509392666e-07,0.00660605235851,2.83509392666e-07,2.83509392666e-07
10822931,0.0720325704897,0.0849623200061,0.000658966590637,0.00218419173467,0.381826595767,0.0179564062922,0.00620523984165,0.0378883257881,3.46642078189e-07,0.0135887161071,3.46642078189e-07,3.46642078189e-07,0.163615407547,0.118829251045,0.0209721923725,3.46642078188e-07,0.0536952045535,0.00346676742396,3.46642078189e-07,0.0221161112305
